Rank,Peak,All Time Peak,Actual_Gross,Adjusted gross (in 2022 dollars),Artist,Tour title,Shows,Average gross,Reference,Actual_Gross_with_VAT,Starting_Year,Ending_Year
1,1,2,780000000,780000000,Taylor Swift,The Eras Tour ,56,13928571,1,101400000,2023,2024
2,1,7,579800000,579800000,Beyoncé,Renaissance World Tour,56,10353571,3,75374000,2023,
3,1,2,411000000,560622615,Madonna,Sticky & Sweet Tour ,85,4835294,6,53430000,2008,2009
4,2,10,397300000,454751555,Pink,Beautiful Trauma World Tour,156,2546795,7,51649000,2018,2019
5,2,8,345675146,402844849,Taylor Swift,Reputation Stadium Tour,53,6522173,8,44937768,2018,
6,2,10,305158363,388978496,Madonna,The MDNA Tour,88,3467709,9,39670587,2012,
7,2,8,280000000,381932682,Celine Dion,Taking Chances World Tour,131,2137405,11,36400000,2008,2009
7,2,8,257600000,257600000,Pink,Summer Carnival ,41,6282927,12,33488000,2023,2024
9,2,8,256084556,312258401,Beyoncé,The Formation World Tour,49,5226215,13,33290992,2016,
10,2,8,250400000,309141878,Taylor Swift,The 1989 World Tour,85,2945882,14,32552000,2015,
11,2,8,229100000,283202896,Beyoncé,The Mrs. Carter Show World Tour,132,1735606,1516,29783000,2013,2014
12,2,14,227400000,295301479,Lady Gaga,The Monster Ball Tour ,203,1118227,18,29562000,2009,2011
13,2,8,204000000,251856802,Katy Perry,Prismatic World Tour,151,1350993,19,26520000,2014,2015
14,1,8,200000000,299676265,Cher,Living Proof: The Farewell Tour ,325,615385,20,26000000,2002,2005
15,2,8,194000000,281617035,Madonna,Confessions Tour,60,3233333,5,25220000,2006,
16,2,8,184000000,227452347,Pink,The Truth About Love Tour,142,1295775,22,23920000,2013,2014
17,2,8,170000000,213568571,Lady Gaga,Born This Way Ball,98,1734694,12,22100000,2012,2013
18,2,8,169800000,207046755,Madonna,Rebel Heart Tour,82,2070732,4,22074000,2015,2016
19,2,8,167700000,204486106,Adele,Adele Live 2016,121,1385950,25,21801000,2016,2017
20,2,8,150000000,185423109,Taylor Swift,The Red Tour,86,1744186,26,19500000,2013,2014
